Question Number	Chapter 	Book	Subject 	Question 	Answer
CSD-2	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What is the actual implementation of a processor called?	Micro architecture
CSD-3	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What sort of things are included in the microarchitecture of a CPU	The ALU, shadow registers, branch predicting mechanisms
CSD-4	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What is heterogeneous computing?	A style of computing that contains multiple processors (or cores) each of a differenty type; each of these processors serves a distinct and particular purpose, allowing for higher performance under many scenarios.
CSD-5	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What is an ASIP?	Application specific instruction processor; a processor with an instruction set customized for a specific application or domain
CSD-6	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What is a superscalar processor?	A processor that implements instruction level parallelism; it can execute more than one instruction in a single clock cycle.  Different instructions are dispatched to different execution units.
CSD-7	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	Of what type are most processors?	Sequential processors; executing instructions sequentially from an instruction stream
CSD-8	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What is a VLIW and what does it do?	Very long instruction word processor; it allows for more than one instruction to be executed at a time; it relies on the compiler ordering and encoding information about parallelism
CSD-9	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What is the difference between superscalar and VLIW?	Superscalar has a dynamic scheduler that can implement instruction level parallelism transparently to the user; VLIP is static and must have encoded information from the compiler
CSD-10	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What are the two main architectures for SIMD	Array and Vector processors
CSD-11	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	How do array processors work?	"There are many parallel processor elements that are connected via networks; there is a single broadcast instruction and all of the processor elements operate in unison.  Each processor element has its own private memory <img src=""array_proc.png"">"
CSD-12	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What must be a property of an application to take advantage of SIMD architectures?	There must be quite a bit of data that is uniformly distributed and operations must be uniformly applied to that data.
CSD-13	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	How do vector processors work?	"More like a traditional processor than an array processor; these processors can operate on vectors, which are sets of data that can be operated on as a single entity.  There are special vector register that data can be loaded into.  Vector processors have their own special ALUs that can do additional, multiplication and reciprocation on vectors <img src=""vector_proc.png"">"
CSD-14	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What is a vector in the processor / systems sense?	Sequences of data that can be seemingly operated on as a single entity.
CSD-15	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What are two main problems that arise with multiprocessor systems sharing memory?	"1. Maintaining memory consistency; the programmer could effect memory references
2. Cache coherency: ensuring that all processor elements have the same value at the given memory location"
CSD-16	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What problems does cache coherency solve?	Individual processor elements having different values of some value from memory in their own private cache
CSD-17	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What does AMBA stand for?	"ARM’s advanced Microcontroller Bus Architecture <img src=""amba.png"">"
CSD-18	1 – Introduction to the Systems Approach	Computer System Design: System-on-Chip	Computer Engineering	What is a network on chip?	An array of switches; an alternative to a bus for connecting discrete modules in a system
CSD-19	2 – Chip basics	Computer System Design: System-on-Chip	Computer Engineering	What is makimoto’s wave?	Observation that circuit industry goes in waves of customization and standardization.
CSD-20	2 – Chip basics	Computer System Design: System-on-Chip	Computer Engineering	What is the main determinant of weight in wearable systems?	Power supply
CSD-21	2 – Chip basics	Computer System Design: System-on-Chip	Computer Engineering	How is the clock cycle time determined in a synchronous system?	The longest time needed to do a frequent operation (such as adding two numbers)
