Question	Answer	Question Number	Chapter	Book	Subject	Image
What is a label?	"The thing we are predicting: Spam or not spam, for example.
An annotation to our data that we want to predict on unseen examples."	1	Framing	Google Machine Learning Crash Course	CS	
What is a feature?	The input variable; how we represent data.	2	Framing	Google Machine Learning Crash Course	CS	
What is an example?	One piece of data, either labeled or unlabeled.  A vector, made up of the features.	3	Framing	Google Machine Learning Crash Course	CS	
What is a model?	"The thing that does the prediction – created through processing data.
Defines the relationship between features and labels."	4	Framing	Google Machine Learning Crash Course	CS	
What is the purpose of training?	Teaching the model how to relate features to labels.	5	Framing	Google Machine Learning Crash Course	CS	
What are the two types of models?	Regression and Classification	6	Framing	Google Machine Learning Crash Course	CS	
What does a regression model do?	Predicts continuous values.	7	Framing	Google Machine Learning Crash Course	CS	
What is “Loss”?	How good our model is at predicting any example from the data set.	8	Descending into ML	Google Machine Learning Crash Course	CS	loss-function.png
What are the three main loss functions?	L1, L2 (Squared error), L3	9	Descending into ML	Google Machine Learning Crash Course	CS	
How do we modify the weights of a model?	Using the gradient, taking the derivative of the loss function.	10	Reducing Loss	Google Machine Learning Crash Course	CS	
What is the learning rate?	A hyper parameter that determines how big of a step to take in the direction of the negative gradient.	11	Reducing Loss	Google Machine Learning Crash Course	CS	
Why does initial conditions of a model matter?	Because there may me many local minimums, but only a single global minimum.	12	Reducing Loss	Google Machine Learning Crash Course	CS	
What is Stochastic Gradient Descent?	Running the gradient descent algorithm on one example at a time, reducing computational burden.	13	Reducing Loss	Google Machine Learning Crash Course	CS	
What are hyperparameters?	Knobs that programmers can tweak in machine learning algorithms.	14	Reducing Loss	Google Machine Learning Crash Course	CS	
What is the dot product?	AKA the scalar product. Tells you how similar two vectors are	15	Linear Algebra Review	Google Machine Learning Crash Course	CS	Dot-product.png
What is the cross product?	AKA the vector product.  Produces a new vector that is perpendicular to the other two.	16	Linear Algebra Review	Google Machine Learning Crash Course	CS	cross-product.png
What is a synthetic feature?	a feature not present among input features, but can be created from one or more of them.	17	Intro to Tensor Flow	Google Machine Learning Crash Course	CS	
What is a correlation matrix?	A matrix that we can produce that tells us which raw values relate to which other raw values – the higher the correlation the higher the predictive power	18	Intro to Tensor Flow	Google Machine Learning Crash Course	CS	
What do we mean by generalization in reference to ML?	A model that is able to make accurate predictions to never before seen data – it hasn’t over fitted to the training data.	19	Generalization	Google Machine Learning Crash Course	CS	
What is the best way to avoid over fitting?	Keeping the model simple	20		Google Machine Learning Crash Course	CS	
What advantages does a big training set give us?  What about a big test set?	The bigger the training set, the better our model.  The bigger our test set, the more confidence we have in the trained model. 	21	Training and Test Sets	Google Machine Learning Crash Course	CS	
What is the validation set?	A third partition of the randomized input data (aside from training and test sets).  We training on the test data, then validate the results against the validation set – if all is good, then we check against the test set.	22	Validation	Google Machine Learning Crash Course	CS	
What is one-hot encoding?	A vector that contains a set of possible values, but only one of them is active – like an enum.	23	Representation	Google Machine Learning Crash Course	CS	
What is “vocabulary” in reference to one and multi hot encoding?	The input set of possible values.	24	Representation	Google Machine Learning Crash Course	CS	
What is the OOV (out of vocabulary) bucket?	We only consider the most common words in our vocabulary (for one hot / multi hot encoding), all of the other words are placed in the other bucket.	25	Representation	Google Machine Learning Crash Course	CS	
What is a sparse representation and what is its purpose?	When we have a vector that is mostly zero values, we only write down the values that are non-zero.  This saves space.	26	Representation	Google Machine Learning Crash Course	CS	
What is the purpose of synthetic features (feature crosses)?	They allow us to learn a non-linearity in a linear model through what is called the feature cross product, or just crosses.	27	Feature Crosses	Google Machine Learning Crash Course	CS	non-linear.png
What is a logical conjunction?	When we cross two multi hot encoded features together, we end up with a new vector that contains all of the possible combinations of the two input vectors.	28	Feature Crosses	Google Machine Learning Crash Course	CS	
What is the purpose of regularization?	Helps the model be more generic so it can generalize to new examples – don’t trust the input examples too much.	29	Regularization for Simplicity	Google Machine Learning Crash Course	CS	
What is the purpose of “Structural risk minimization”	To reduce both the loss of the model as well as the model complexity.	30	Regularization for Simplicity	Google Machine Learning Crash Course	CS	
What is the output of a logistic regression?	A probability value between 0 and 1.	31	Logistic Regression	Google Machine Learning Crash Course	CS	
What function do we use to bound our linear model between 0 and 1?	The sigmoid	32	Logistic Regression	Google Machine Learning Crash Course	CS	sigmoid.png
What loss function do we use for logistic regressnion?	The log loss function	33	Logistic Regression	Google Machine Learning Crash Course	CS	log-loss.png
What affects do the asymptotes of the sigmoid an log loss functions have on our model?	The model will continually grow as it tries to reach the value the asymptote is approaching.  This makes regularization much more important.	34	Logistic Regression	Google Machine Learning Crash Course	CS	
What is accuracy?	What percentage of inputs that were correct	35	Classification	Google Machine Learning Crash Course	CS	accuracy.png
How can we describe accuracy in terms of True Positive, False Positive, True Negative, False Negative? 		36	Classification	Google Machine Learning Crash Course	CS	accuracy_tpfptnfn.png
What is a “Class Imbalance”?	"When you have a dataset where one of the two conditions happens very infrequently compared to the rest of the data.
For example, we are trying to idenfity dogs from images, but only 1/1000 images are of dogs"	37	Classification	Google Machine Learning Crash Course	CS	
What is the deficiency of accuracy in regards to class imbalance?	If we have a class imbalance, and the predicted value only shows up 1/1000 entries, then always choosing true would result in a 99.9% accuracy	38	Classification	Google Machine Learning Crash Course	CS	
What is precision?	How often was the model correct? What percentage of the predicted positives were correct?	39	Classification	Google Machine Learning Crash Course	CS	precision.png
What is recall?	Out of all of the actual positives, how many of those did we identify correctly?	40	Classification	Google Machine Learning Crash Course	CS	recall.png
What is the relationship between precision and recall?	Precision and Recall are generally in Tug of War with each other, and you must examine both of them in order to correctly evaluate a model.  Increasing the threshold will generally increase precision (the ratio of true positives on the right of the threshold will increase) while the recall will generally decrease (as more positives will become false negatives on the right side of the curve).	41	Classification	Google Machine Learning Crash Course	CS	recall_precision_tug_of_war.png
